client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
836976,6,73,60.5,U,2,45105.3,6,9
2304905,7,94,58.0,U,2,110860.3,6,9
1439522,5,64,32.0,U,2,52467.79,6,9
1562045,16,198,49.0,M,2,67454.65,3,6
5126305,12,145,33.0,F,2,103671.75,0,3
3727881,5,71,30.5,U,2,23915.6,0,3
272934,5,66,58.5,U,2,27021.42,2,5
388801,30,361,57.5,M,5,522498.72,1,4
285619,30,369,67.5,M,2,299388.72,3,6
8198645,15,189,54.5,F,2,382303.83,6,9
8368822,8,100,34.5,U,2,75578.54,0,3
2537139,8,99,51.5,U,2,135940.68,6,9
2208717,5,67,33.0,U,2,29782.96,6,9
2214073,16,193,62.5,M,3,136818.03,6,9
2368987,5,71,54.5,U,2,44408.87,2,5
2892152,4,58,36.0,U,2,46815.48,5,8
4536541,3,47,74.0,U,2,47804.5,1,4
3788589,10,122,32.5,M,2,30750.76,0,3
719792,11,136,31.0,F,2,111736.78,5,8
5904035,8,101,25.5,U,2,27848.76,3,6
1502049,8,100,31.0,U,2,28952.15,0,3
6590646,8,103,42.5,F,3,2768726.87,5,8
7585111,5,70,42.0,U,3,36621.41,1,4
3638336,12,152,30.5,M,3,54296.67,3,6
9520009,13,160,30.0,M,2,61062.57,6,9
1508759,6,80,58.5,U,2,66514.85,4,7
9381346,7,88,62.5,U,2,272252.76,0,3
7035604,7,86,30.5,U,2,28175.92,1,4
3055315,5,65,34.5,F,2,66560.69,1,5
3350906,5,68,55.0,U,2,88627.18,2,5
2109862,7,93,38.0,U,2,35917.29,2,5
1549737,7,94,68.5,U,2,35608.94,1,4
7474517,6,73,52.5,U,2,53993.47,4,7
6448014,7,85,57.5,U,2,82787.46,6,9
6651826,8,103,34.5,U,2,44696.97,0,3
2305285,14,168,54.0,M,2,132347.89,6,9
5889920,11,142,33.0,M,2,106249.03,1,4
3065089,19,228,63.0,M,2,439723.43,6,9
313570,18,223,48.0,F,2,75124.07,2,5
9721424,12,152,32.0,F,2,29667.6,0,3
3753796,25,305,66.5,F,2,214661.75,6,9
6647577,23,286,68.0,F,3,86005.57,2,5
6341488,23,285,65.0,F,2,116534.46,5,8
838619,23,280,60.5,F,2,131309.81,0,3
2000151,21,254,38.0,F,2,136515.54,6,9
6579978,21,253,74.0,M,2,71192.58,1,4
8475126,23,278,51.0,M,3,327091.02,3,6
7419744,18,221,49.0,U,2,162233.71,0,3
9796602,18,216,46.0,F,2,25827.39,0,3
1329260,17,212,63.5,F,2,666138.27,5,8
4821014,17,204,62.5,M,2,45073.26,1,4
7906602,21,260,54.5,F,2,39725.28,2,5
2671231,5,68,23.0,U,2,43062.3,1,4
9587439,5,66,26.5,U,2,28875.65,6,9
5542798,9,116,56.5,M,2,79888.68,5,8
5977906,10,130,76.5,F,2,82916.93,3,6
7928244,14,177,33.0,F,2,105416.69,6,9
4906392,13,159,27.5,F,2,52600.87,2,5
3939684,15,190,60.5,F,2,48166.13,1,4
3731320,7,89,39.5,U,2,34487.99,6,9
9055726,5,70,25.0,U,3,33261.64,6,9
5808972,5,66,23.0,U,2,29898.98,0,3
7414763,7,91,27.0,U,2,53219.65,6,9
1531616,10,129,60.0,M,2,100777.88,6,9
8387066,27,329,66.0,M,2,406190.96,6,9
3402999,7,92,39.0,U,2,56527.9,0,3
8593187,14,168,56.0,M,3,207559.95,6,9
5908339,15,190,40.0,F,2,205785.55,5,8
